SN,BIN,Type,Betas
1,1,0,2.00743855348982
2,1,0,6.15396363200154
3,1,0,5.61897771656402
4,1,0,1.46924608541487
5,1,0,3.95823221723035
6,1,0,4.26089514676031
7,1,0,3.60294736734122
8,1,0,2.76831121779013
9,1,0,2.79163920856822
10,1,0,6.02175001064156
11,1,0,6.21678445996911
12,1,0,2.48533251900884
13,1,0,1.9662679233165
14,1,0,7.4092364633956
15,1,0,-1.53799536990442
16,1,0,2.92774914082916
1,2,0,0.391216338059447
2,2,0,6.76942991473843
3,2,0,0.116431276090665
4,2,0,2.23785074565413
5,2,0,-0.00189295640307994
6,2,0,3.06131557711023
7,2,0,3.3361715910909
8,2,0,5.72821636382429
9,2,0,-2.32067711351493
10,2,0,5.03993380736636
11,2,0,-1.95391835650945
12,2,0,6.10937154405111
13,2,0,-1.02612183574904
14,2,0,-1.66027918900179
15,2,0,7.02572541285778
16,2,0,4.40003210882309
1,3,0,0.0324966384764812
2,3,0,4.7680993965422
3,3,0,1.81071632978351
4,3,0,1.90718178065568
5,3,0,4.32082583680894
6,3,0,4.43852995681999
7,3,0,-0.096668042229266
8,3,0,-0.12879329155622
9,3,0,3.21279113364964
10,3,0,4.44272096881215
11,3,0,0.945305574482519
12,3,0,2.30341539902116
13,3,0,2.93567011389303
14,3,0,1.12108877468313
15,3,0,2.09748896676351
16,3,0,3.95012757183755
1,4,0,-1.0793189876609
2,4,0,-0.0926394647001647
3,4,0,3.75193860592081
4,4,0,-0.116258629184233
5,4,0,1.8552058764672
6,4,0,6.37804502674977
7,4,0,-0.569954682302653
8,4,0,-2.72664263967841
9,4,0,-1.21080507825707
10,4,0,1.57066236475702
11,4,0,2.50368936229106
12,4,0,0.702219370085881
13,4,0,-0.198603244219474
14,4,0,2.21222645463616
15,4,0,3.20729703860812
16,4,0,5.14267398623427
1,5,0,-1.17418197792123
2,5,0,4.63936150837429
3,5,0,1.4391434594539
4,5,0,1.05691965331266
5,5,0,2.88659467524964
6,5,0,6.35470521023677
7,5,0,2.57904232779321
8,5,0,-0.82582836927574
9,5,0,-0.65224674439039
10,5,0,3.04381711586261
11,5,0,1.66052521047425
12,5,0,3.91196505381394
13,5,0,5.81672756201052
14,5,0,2.3077724911392
15,5,0,4.00094383073267
16,5,0,1.8320797276955
1,6,0,0.156875660503093
2,6,0,0.655093914116419
3,6,0,-0.674209118090406
4,6,0,2.37763799918508
5,6,0,-1.95474622324664
6,6,0,3.30711510225704
7,6,0,-0.164803251831071
8,6,0,-1.97640358661635
9,6,0,3.1980128332075
10,6,0,2.88775517624991
11,6,0,6.67678875035544
12,6,0,4.17734379419794
13,6,0,0.362681667628023
14,6,0,-0.130475255840753
15,6,0,3.70620416044349
16,6,0,0.51248666652326
1,7,0,-0.419607341818933
2,7,0,4.36244368069536
3,7,0,-1.22287035351333
4,7,0,2.48143565964706
5,7,0,2.8647657092149
6,7,0,2.02121908694752
7,7,0,-1.69723295261101
8,7,0,-3.60917140038723
9,7,0,2.03776405666178
10,7,0,2.82343880209623
11,7,0,5.29110149650814
12,7,0,9.32079904474567
13,7,0,0.0552798909752968
14,7,0,-2.43775907052633
15,7,0,5.51846447433412
16,7,0,0.179890545781044
1,8,0,-1.34608469891254
2,8,0,1.26117503469991
3,8,0,-1.28830537106165
4,8,0,3.97964994291626
5,8,0,-0.043387950749068
6,8,0,4.818723359115
7,8,0,-3.51538234202952
8,8,0,-1.05234988736554
9,8,0,7.44174061825192
10,8,0,3.14716355952468
11,8,0,0.912321242354904
12,8,0,4.94747148458833
13,8,0,-3.3907619129881
14,8,0,-2.01831494556548
15,8,0,11.7119099284316
16,8,0,3.94491708095201
1,9,0,-0.313398382585508
2,9,0,5.70170349205635
3,9,0,-0.0388324417878835
4,9,0,1.25566973394997
5,9,0,-2.04807739890992
6,9,0,1.64066796884458
7,9,0,-0.796558444243738
8,9,0,1.21748592875326
9,9,0,3.6570794670639
10,9,0,3.19985618818795
11,9,0,1.01571628157354
12,9,0,4.14975908439377
13,9,0,6.5113832833821
14,9,0,-1.60594646525
15,9,0,4.16354781611418
16,9,0,2.57752490828919
1,10,0,2.2888529605077
2,10,0,3.83548491701615
3,10,0,0.191059826096934
4,10,0,1.58312401425154
5,10,0,-3.60391791018919
6,10,0,0.953351254990734
7,10,0,0.974774948528678
8,10,0,0.363234247119236
9,10,0,7.27654759745721
10,10,0,-0.421712371953387
11,10,0,2.31321219709731
12,10,0,-1.83161498156049
13,10,0,1.43267649171914
14,10,0,0.0656316359923335
15,10,0,3.29926010394562
16,10,0,1.90969618662151
1,11,0,-1.89010306197248
2,11,0,1.62327051223915
3,11,0,0.336811366453853
4,11,0,1.10254975368262
5,11,0,5.34439812727148
6,11,0,0.672708286703892
7,11,0,1.67077679733631
8,11,0,-2.08420141515095
9,11,0,4.75025558991795
10,11,0,2.66967817459831
11,11,0,4.6797764756102
12,11,0,3.61401761275029
13,11,0,1.45120701061868
14,11,0,-4.51067793574813
15,11,0,3.59018879135314
16,11,0,1.85442670727055
1,12,0,0.5531078460139
2,12,0,1.992431997784
3,12,0,-1.59545577515459
4,12,0,1.27518894444066
5,12,0,1.34581833634559
6,12,0,5.64689368679353
7,12,0,-2.50827143918794
8,12,0,-1.61133336487878
9,12,0,-3.32100160399669
10,12,0,0.361435590233639
11,12,0,2.69315973589062
12,12,0,0.780628380485079
13,12,0,0.0296992130038315
14,12,0,1.81604926609374
15,12,0,4.19289506381942
16,12,0,1.57361962816119
1,1,1,2.62783678038834
2,1,1,-0.64828273280999
3,1,1,0.0165298055111426
4,1,1,-0.602708301840875
5,1,1,-0.491809843891869
6,1,1,0.74644083118373
7,1,1,3.01601611576855
8,1,1,-1.15437210094301
9,1,1,0.389044856435432
10,1,1,6.69690587194045
11,1,1,1.5693552415822
12,1,1,-4.51082516020065
13,1,1,1.01377558710036
14,1,1,-1.23057697047261
15,1,1,-0.156791647970051
16,1,1,1.94774895299054
1,2,1,-2.83498209780119
2,2,1,4.22463357858026
3,2,1,-0.432236362780507
4,2,1,0.104637389977531
5,2,1,-0.490018131509462
6,2,1,1.06048753610902
7,2,1,1.36353499621511
8,2,1,1.58859478297848
9,2,1,0.772166041633589
10,2,1,2.01434044080935
11,2,1,-2.07332824575711
12,2,1,0.335256480719256
13,2,1,2.2006326773943
14,2,1,2.5108643414876
15,2,1,-0.223486253413384
16,2,1,2.44212934096363
1,3,1,-2.21361154902338
2,3,1,3.79676688627984
3,3,1,1.90778139177193
4,3,1,-0.757255535526647
5,3,1,0.774379978708676
6,3,1,-3.84208140490256
7,3,1,-1.75636158229189
8,3,1,2.77922790011862
9,3,1,-1.76538341578873
10,3,1,1.05198651164086
11,3,1,-1.43177626357306
12,3,1,0.619484080792438
13,3,1,2.81233970536216
14,3,1,4.36138173372999
15,3,1,-2.80952907725168
16,3,1,0.0301533935241252
1,4,1,0.0754455822345045
2,4,1,5.13954834867168
3,4,1,4.06200271148988
4,4,1,-1.62021396631482
5,4,1,2.07443883800843
6,4,1,-3.7887704322861
7,4,1,2.64479893898684
8,4,1,1.63131986589071
9,4,1,-0.701318294755274
10,4,1,0.845980017500645
11,4,1,1.17475999848634
12,4,1,0.219889798714441
13,4,1,3.90584674767827
14,4,1,0.877968145878919
15,4,1,-0.0226180133034172
16,4,1,-1.10344996711214
1,5,1,1.39911214233664
2,5,1,0.753210012404739
3,5,1,4.00610399758492
4,5,1,-0.331579089110341
5,5,1,2.96612123781466
6,5,1,-2.10181640031178
7,5,1,1.75816717841437
8,5,1,3.53713986849646
9,5,1,-1.7276761401615
10,5,1,2.22348029656264
11,5,1,-0.90234019875869
12,5,1,0.67516874953113
13,5,1,-0.992720911481009
14,5,1,4.76482797942449
15,5,1,1.62281615008526
16,5,1,0.0254765707446314
1,6,1,-0.483336092702914
2,6,1,3.41129546715724
3,6,1,0.937616740852536
4,6,1,0.00555764855964265
5,6,1,1.27264386615841
6,6,1,-3.64162294047242
7,6,1,3.22564788601962
8,6,1,2.7089435043155
9,6,1,0.205832604829937
10,6,1,2.6360593315786
11,6,1,-1.07500974902554
12,6,1,3.65902118761531
13,6,1,-0.0132878415873777
14,6,1,0.318098919649103
15,6,1,-1.85952390901483
16,6,1,-0.98162787714709
1,7,1,0.237672538000718
2,7,1,2.46103463790682
3,7,1,3.67813303149139
4,7,1,-1.67878140510429
5,7,1,1.31329269654191
6,7,1,-3.69515106183737
7,7,1,5.00766355004439
8,7,1,3.2122059166786
9,7,1,2.77439251045885
10,7,1,2.13530375279628
11,7,1,1.90810713749959
12,7,1,-1.30953637708306
13,7,1,4.22014208152438
14,7,1,-1.80247369139886
15,7,1,0.31025855626737
16,7,1,1.66909570020469
1,8,1,-1.73163703056197
2,8,1,2.36424247069829
3,8,1,0.144266982486543
4,8,1,-1.06011690036805
5,8,1,0.649985482923853
6,8,1,-2.22212541520788
7,8,1,1.71049609948161
8,8,1,3.6037770056012
9,8,1,3.15582966268522
10,8,1,3.21790769476075
11,8,1,1.79352618198059
12,8,1,-0.778341641850956
13,8,1,0.985289343921664
14,8,1,-1.04196667563318
15,8,1,2.23177998263477
16,8,1,-0.542541561413996
1,9,1,-0.991810599741435
2,9,1,4.32441463111251
3,9,1,1.88484835128085
4,9,1,1.84194993908677
5,9,1,2.76690028050946
6,9,1,-4.74362813995306
7,9,1,1.3823461323946
8,9,1,4.85884773534273
9,9,1,1.29604713492028
10,9,1,4.95038348747371
11,9,1,-1.42866451002876
12,9,1,1.52991759447571
13,9,1,0.338172367526118
14,9,1,0.601459663497336
15,9,1,0.589830124913582
16,9,1,1.49985020062267
1,10,1,0.202231287833738
2,10,1,7.11195202617203
3,10,1,2.30995340569922
4,10,1,-0.509229887961018
5,10,1,1.52205374136201
6,10,1,-0.444666343915128
7,10,1,3.19948577815411
8,10,1,8.09400935717239
9,10,1,4.99416798643932
10,10,1,5.80083622965376
11,10,1,1.20291252809425
12,10,1,0.000660038873955808
13,10,1,0.467549207766623
14,10,1,1.3644607303693
15,10,1,0.48669415919742
16,10,1,-0.333658602537423
1,11,1,0.404044624168413
2,11,1,5.05964150911851
3,11,1,1.07452012953525
4,11,1,-0.807841714900296
5,11,1,5.33669056223539
6,11,1,-1.95195097387471
7,11,1,5.38487199623009
8,11,1,7.48664706489347
9,11,1,5.15701825524828
10,11,1,2.93211562564396
11,11,1,4.42495289432969
12,11,1,2.51816338139265
13,11,1,-2.23918565250482
14,11,1,-2.03508261010423
15,11,1,3.3294522370488
16,11,1,-1.47440310066178
1,12,1,-0.391890763611906
2,12,1,2.65463125515057
3,12,1,3.52766843053836
4,12,1,-1.71247976447024
5,12,1,-0.819917831597414
6,12,1,1.36720659180443
7,12,1,6.7902099997303
8,12,1,5.4511096956474
9,12,1,-0.16050939462023
10,12,1,3.64036829933545
11,12,1,-0.857544585318854
12,12,1,1.63896419147468
13,12,1,2.15910839716995
14,12,1,2.22779137833695
15,12,1,1.39862352371595
16,12,1,-0.505247957820546
